size,mu,method ,random,remerge,relative,time,modularity,conductance,jaccard
1000,0,Louvain,TRUE,FALSE,FALSE,21.8877407,0.498350605,0.529055511,0.589824781
10000,,Louvain,TRUE,FALSE,FALSE,31.703964,0.467035196,0.493425621,0.434774985
1000,,Louvain,TRUE,FALSE,FALSE,0.611518455,0.461807503,0.505298258,0.797341839
10000,,Louvain,TRUE,FALSE,FALSE,5.3833824,0.504060269,0.516873747,0.250374723
1000,,Louvain,TRUE,FALSE,FALSE,,,,
10000,,Louvain,TRUE,FALSE,FALSE,,,,
1000,,Louvain,TRUE,FALSE,TRUE,1.520721308,0.467037533,0.506810174,0.713590556
10000,,Louvain,TRUE,FALSE,TRUE,4.576708539,0.498869408,0.515289453,0.338071883
1000,,Louvain,TRUE,FALSE,TRUE,,,,
10000,,Louvain,TRUE,FALSE,TRUE,,,,
